Time,Note,Duration,Velocity,Instrument,Channel,Track,Tempo,Pan,Volume,Expression
0.0,62,0.5,52.91,1,0,0,120.0,64,100,80
0.5,71,2.0,52.91,1,0,0,120.0,64,100,80
2.5,69,2.0,52.91,49,9,0,120.0,64,100,80
4.5,62,0.5,52.91,1,0,0,120.0,64,100,80
5.0,62,0.5,52.91,1,0,0,144.9,64,100,80
5.5,71,2.0,52.91,1,0,0,126.0,64,100,80
7.5,60,1.0,52.91,1,0,0,126.0,64,100,80
8.5,69,2.0,52.91,50,9,0,126.0,64,100,80
10.5,62,0.5,52.91,1,0,0,126.0,64,100,80
11.0,71,2.0,52.91,51,9,0,126.0,64,100,80
13.0,64,0.5,52.91,1,0,0,126.0,64,100,80
13.5,60,1.0,52.91,1,0,0,126.0,64,100,80
14.5,64,0.5,63.5,1,0,0,126.0,64,100,80
15.0,64,0.5,63.5,1,0,0,126.0,64,100,80
15.5,60,1.0,63.5,1,0,0,126.0,64,100,80
16.5,64,0.5,63.5,1,0,0,126.0,64,100,80
17.0,64,0.5,63.5,1,0,0,152.14499999999998,64,100,80
17.5,60,1.0,63.5,1,0,0,132.3,64,100,80
18.5,67,0.25,63.5,1,0,0,132.3,64,100,80
18.75,64,0.5,63.5,1,0,0,132.3,64,100,80
19.25,62,0.5,63.5,1,0,0,132.3,64,100,80
19.75,64,0.5,63.5,50,9,0,132.3,64,100,80
20.25,60,1.0,63.5,1,0,0,132.3,64,100,80
21.25,69,2.0,63.5,1,0,0,132.3,64,100,80
23.25,69,2.0,63.5,1,0,0,132.3,64,100,80
25.25,64,1.0,63.5,50,9,0,132.3,64,100,80
26.25,64,1.0,63.5,1,0,0,132.3,64,100,80
27.25,59,1.0,63.5,1,0,0,132.3,64,100,80
28.25,68,2.0,63.5,1,0,0,132.3,64,100,80
30.25,66,0.25,63.5,1,0,0,132.3,64,100,80
30.5,59,1.0,63.5,1,0,0,132.3,64,100,80
31.5,70,2.0,63.5,1,0,0,132.3,64,100,80
33.5,63,0.5,63.5,1,0,0,132.3,64,100,80
34.0,59,1.0,63.5,1,0,0,132.3,64,100,80
35.0,59,1.0,63.5,1,0,0,132.3,64,100,80
36.0,68,2.0,63.5,1,0,0,132.3,64,100,80
38.0,59,1.0,74.08,1,0,0,132.3,64,100,80
