Time,Note,Duration,Velocity,Instrument,Channel,Track,Tempo,Pan,Volume,Expression
0.0,62,1.0,63,1,0,0,120,64,100,80
1.0,71,1.0,63,1,0,0,120,64,100,80
2.0,69,1.0,63,1,0,0,120,64,100,80
3.0,62,1.0,63,1,0,0,120,64,100,80
4.0,62,1.0,63,1,0,0,120,64,100,80
5.0,71,1.0,63,1,0,0,120,64,100,80
6.0,60,1.0,63,1,0,0,120,64,100,80
7.0,69,1.0,63,1,0,0,120,64,100,80
8.0,62,1.0,63,1,0,0,120,64,100,80
9.0,71,1.0,63,1,0,0,120,64,100,80
10.0,64,1.0,63,1,0,0,120,64,100,80
11.0,60,1.0,63,1,0,0,120,64,100,80
12.0,64,1.0,63,1,0,0,120,64,100,80
13.0,64,1.0,63,1,0,0,120,64,100,80
14.0,60,1.0,63,1,0,0,120,64,100,80
15.0,64,1.0,63,1,0,0,120,64,100,80
16.0,64,1.0,63,1,0,0,120,64,100,80
17.0,60,1.0,63,1,0,0,120,64,100,80
18.0,67,1.0,63,1,0,0,120,64,100,80
19.0,64,1.0,63,1,0,0,120,64,100,80
20.0,62,1.0,63,1,0,0,120,64,100,80
21.0,64,1.0,63,1,0,0,120,64,100,80
22.0,60,1.0,63,1,0,0,120,64,100,80
23.0,69,1.0,63,1,0,0,120,64,100,80
24.0,69,1.0,63,1,0,0,120,64,100,80
25.0,65,1.0,63,1,0,0,120,64,100,80
26.0,65,1.0,63,1,0,0,120,64,100,80
27.0,60,1.0,63,1,0,0,120,64,100,80
28.0,69,1.0,63,1,0,0,120,64,100,80
29.0,67,1.0,63,1,0,0,120,64,100,80
30.0,60,1.0,63,1,0,0,120,64,100,80
31.0,71,1.0,63,1,0,0,120,64,100,80
32.0,64,1.0,63,1,0,0,120,64,100,80
33.0,60,1.0,63,1,0,0,120,64,100,80
34.0,60,1.0,63,1,0,0,120,64,100,80
35.0,69,1.0,63,1,0,0,120,64,100,80
36.0,60,1.0,63,1,0,0,120,64,100,80
37.0,69,1.0,63,1,0,0,120,64,100,80
38.0,60,1.0,63,1,0,0,120,64,100,80
39.0,69,1.0,63,1,0,0,120,64,100,80
40.0,60,1.0,63,1,0,0,120,64,100,80
41.0,64,1.0,63,1,0,0,120,64,100,80
42.0,64,1.0,63,1,0,0,120,64,100,80
43.0,60,1.0,63,1,0,0,120,64,100,80
44.0,67,1.0,63,1,0,0,120,64,100,80
45.0,64,1.0,63,1,0,0,120,64,100,80
46.0,0,1.0,63,1,0,0,120,64,100,80
47.0,60,1.0,63,1,0,0,120,64,100,80
48.0,69,1.0,63,1,0,0,120,64,100,80
49.0,62,1.0,63,1,0,0,120,64,100,80
50.0,64,1.0,63,1,0,0,120,64,100,80
51.0,69,1.0,63,1,0,0,120,64,100,80
52.0,60,1.0,63,1,0,0,120,64,100,80
53.0,60,1.0,63,1,0,0,120,64,100,80
54.0,64,1.0,63,1,0,0,120,64,100,80
55.0,64,1.0,63,1,0,0,120,64,100,80
56.0,65,1.0,63,1,0,0,120,64,100,80
57.0,60,1.0,63,1,0,0,120,64,100,80
58.0,69,1.0,63,1,0,0,120,64,100,80
59.0,69,1.0,63,1,0,0,120,64,100,80
60.0,67,1.0,63,1,0,0,120,64,100,80
61.0,67,1.0,63,1,0,0,120,64,100,80
62.0,64,1.0,63,1,0,0,120,64,100,80
63.0,67,1.0,63,1,0,0,120,64,100,80
64.0,64,1.0,63,1,0,0,120,64,100,80
65.0,67,1.0,63,1,0,0,120,64,100,80
66.0,69,1.0,63,1,0,0,120,64,100,80
67.0,62,1.0,63,1,0,0,120,64,100,80
68.0,69,1.0,63,1,0,0,120,64,100,80
69.0,71,1.0,63,1,0,0,120,64,100,80
70.0,0,1.0,63,1,0,0,120,64,100,80
71.0,65,1.0,63,1,0,0,120,64,100,80
72.0,71,1.0,63,1,0,0,120,64,100,80
73.0,67,1.0,63,1,0,0,120,64,100,80
74.0,60,1.0,63,1,0,0,120,64,100,80
75.0,67,1.0,63,1,0,0,120,64,100,80
76.0,65,1.0,63,1,0,0,120,64,100,80
77.0,69,1.0,63,1,0,0,120,64,100,80
78.0,65,1.0,63,1,0,0,120,64,100,80
79.0,69,1.0,63,1,0,0,120,64,100,80
80.0,64,1.0,63,1,0,0,120,64,100,80
81.0,69,1.0,63,1,0,0,120,64,100,80
82.0,71,1.0,63,1,0,0,120,64,100,80
83.0,62,1.0,63,1,0,0,120,64,100,80
84.0,69,1.0,63,1,0,0,120,64,100,80
85.0,62,1.0,63,1,0,0,120,64,100,80
86.0,69,1.0,63,1,0,0,120,64,100,80
87.0,60,1.0,63,1,0,0,120,64,100,80
88.0,69,1.0,63,1,0,0,120,64,100,80
89.0,64,1.0,63,1,0,0,120,64,100,80
90.0,69,1.0,63,1,0,0,120,64,100,80
91.0,65,1.0,63,1,0,0,120,64,100,80
92.0,65,1.0,63,1,0,0,120,64,100,80
93.0,69,1.0,63,1,0,0,120,64,100,80
94.0,69,1.0,63,1,0,0,120,64,100,80
95.0,65,1.0,63,1,0,0,120,64,100,80
96.0,60,1.0,63,1,0,0,120,64,100,80
97.0,64,1.0,63,1,0,0,120,64,100,80
98.0,69,1.0,63,1,0,0,120,64,100,80
99.0,62,1.0,63,1,0,0,120,64,100,80
100.0,62,1.0,63,1,0,0,120,64,100,80
101.0,65,1.0,63,1,0,0,120,64,100,80
102.0,62,1.0,63,1,0,0,120,64,100,80
103.0,60,1.0,63,1,0,0,120,64,100,80
104.0,60,1.0,63,1,0,0,120,64,100,80
105.0,0,1.0,63,1,0,0,120,64,100,80
106.0,62,1.0,63,1,0,0,120,64,100,80
107.0,64,1.0,63,1,0,0,120,64,100,80
108.0,60,1.0,63,1,0,0,120,64,100,80
109.0,62,1.0,63,1,0,0,120,64,100,80
110.0,71,1.0,63,1,0,0,120,64,100,80
111.0,62,1.0,63,1,0,0,120,64,100,80
112.0,65,1.0,63,1,0,0,120,64,100,80
113.0,60,1.0,63,1,0,0,120,64,100,80
114.0,69,1.0,63,1,0,0,120,64,100,80
115.0,71,1.0,63,1,0,0,120,64,100,80
116.0,64,1.0,63,1,0,0,120,64,100,80
117.0,60,1.0,63,1,0,0,120,64,100,80
118.0,62,1.0,63,1,0,0,120,64,100,80
119.0,71,1.0,63,1,0,0,120,64,100,80
120.0,62,1.0,63,1,0,0,120,64,100,80
121.0,60,1.0,63,1,0,0,120,64,100,80
122.0,67,1.0,63,1,0,0,120,64,100,80
123.0,69,1.0,63,1,0,0,120,64,100,80
124.0,60,1.0,63,1,0,0,120,64,100,80
125.0,60,1.0,63,1,0,0,120,64,100,80
126.0,69,1.0,63,1,0,0,120,64,100,80
127.0,65,1.0,63,1,0,0,120,64,100,80
128.0,62,1.0,63,1,0,0,120,64,100,80
129.0,62,1.0,63,1,0,0,120,64,100,80
130.0,71,1.0,63,1,0,0,120,64,100,80
131.0,62,1.0,63,1,0,0,120,64,100,80
132.0,62,1.0,63,1,0,0,120,64,100,80
133.0,65,1.0,63,1,0,0,120,64,100,80
134.0,0,1.0,63,1,0,0,120,64,100,80
135.0,62,1.0,63,1,0,0,120,64,100,80
136.0,67,1.0,63,1,0,0,120,64,100,80
137.0,69,1.0,63,1,0,0,120,64,100,80
138.0,60,1.0,63,1,0,0,120,64,100,80
139.0,64,1.0,63,1,0,0,120,64,100,80
140.0,69,1.0,63,1,0,0,120,64,100,80
141.0,67,1.0,63,1,0,0,120,64,100,80
142.0,64,1.0,63,1,0,0,120,64,100,80
143.0,69,1.0,63,1,0,0,120,64,100,80
144.0,60,1.0,63,1,0,0,120,64,100,80
145.0,60,1.0,63,1,0,0,120,64,100,80
146.0,62,1.0,63,1,0,0,120,64,100,80
147.0,62,1.0,63,1,0,0,120,64,100,80
148.0,60,1.0,63,1,0,0,120,64,100,80
149.0,62,1.0,63,1,0,0,120,64,100,80
150.0,65,1.0,63,1,0,0,120,64,100,80
151.0,60,1.0,63,1,0,0,120,64,100,80
152.0,71,1.0,63,1,0,0,120,64,100,80
153.0,67,1.0,63,1,0,0,120,64,100,80
154.0,60,1.0,63,1,0,0,120,64,100,80
155.0,64,1.0,63,1,0,0,120,64,100,80
156.0,60,1.0,63,1,0,0,120,64,100,80
157.0,64,1.0,63,1,0,0,120,64,100,80
158.0,69,1.0,63,1,0,0,120,64,100,80
159.0,64,1.0,63,1,0,0,120,64,100,80
160.0,64,1.0,63,1,0,0,120,64,100,80
161.0,62,1.0,63,1,0,0,120,64,100,80
162.0,64,1.0,63,1,0,0,120,64,100,80
163.0,62,1.0,63,1,0,0,120,64,100,80
164.0,62,1.0,63,1,0,0,120,64,100,80
165.0,71,1.0,63,1,0,0,120,64,100,80
166.0,64,1.0,63,1,0,0,120,64,100,80
167.0,60,1.0,63,1,0,0,120,64,100,80
168.0,60,1.0,63,1,0,0,120,64,100,80
169.0,64,1.0,63,1,0,0,120,64,100,80
170.0,69,1.0,63,1,0,0,120,64,100,80
171.0,67,1.0,63,1,0,0,120,64,100,80
172.0,64,1.0,63,1,0,0,120,64,100,80
173.0,60,1.0,63,1,0,0,120,64,100,80
174.0,67,1.0,63,1,0,0,120,64,100,80
175.0,60,1.0,63,1,0,0,120,64,100,80
176.0,62,1.0,63,1,0,0,120,64,100,80
177.0,62,1.0,63,1,0,0,120,64,100,80
178.0,60,1.0,63,1,0,0,120,64,100,80
179.0,62,1.0,63,1,0,0,120,64,100,80
180.0,62,1.0,63,1,0,0,120,64,100,80
181.0,67,1.0,63,1,0,0,120,64,100,80
182.0,67,1.0,63,1,0,0,120,64,100,80
183.0,64,1.0,63,1,0,0,120,64,100,80
184.0,64,1.0,63,1,0,0,120,64,100,80
185.0,65,1.0,63,1,0,0,120,64,100,80
186.0,65,1.0,63,1,0,0,120,64,100,80
187.0,60,1.0,63,1,0,0,120,64,100,80
188.0,69,1.0,63,1,0,0,120,64,100,80
189.0,62,1.0,63,1,0,0,120,64,100,80
190.0,69,1.0,63,1,0,0,120,64,100,80
191.0,67,1.0,63,1,0,0,120,64,100,80
192.0,69,1.0,63,1,0,0,120,64,100,80
193.0,64,1.0,63,1,0,0,120,64,100,80
194.0,67,1.0,63,1,0,0,120,64,100,80
195.0,65,1.0,63,1,0,0,120,64,100,80
196.0,65,1.0,63,1,0,0,120,64,100,80
197.0,69,1.0,63,1,0,0,120,64,100,80
198.0,60,1.0,63,1,0,0,120,64,100,80
199.0,64,1.0,63,1,0,0,120,64,100,80
200.0,64,1.0,63,1,0,0,120,64,100,80
201.0,69,1.0,63,1,0,0,120,64,100,80
202.0,71,1.0,63,1,0,0,120,64,100,80
203.0,64,1.0,63,1,0,0,120,64,100,80
204.0,69,1.0,63,1,0,0,120,64,100,80
205.0,69,1.0,63,1,0,0,120,64,100,80
206.0,62,1.0,63,1,0,0,120,64,100,80
207.0,64,1.0,63,1,0,0,120,64,100,80
208.0,64,1.0,63,1,0,0,120,64,100,80
209.0,62,1.0,63,1,0,0,120,64,100,80
210.0,60,1.0,63,1,0,0,120,64,100,80
211.0,0,1.0,63,1,0,0,120,64,100,80
212.0,64,1.0,63,1,0,0,120,64,100,80
213.0,60,1.0,63,1,0,0,120,64,100,80
214.0,62,1.0,63,1,0,0,120,64,100,80
215.0,65,1.0,63,1,0,0,120,64,100,80
216.0,64,1.0,63,1,0,0,120,64,100,80
217.0,60,1.0,63,1,0,0,120,64,100,80
218.0,0,1.0,63,1,0,0,120,64,100,80
219.0,67,1.0,63,1,0,0,120,64,100,80
220.0,60,1.0,63,1,0,0,120,64,100,80
221.0,69,1.0,63,1,0,0,120,64,100,80
222.0,65,1.0,63,1,0,0,120,64,100,80
223.0,69,1.0,63,1,0,0,120,64,100,80
224.0,62,1.0,63,1,0,0,120,64,100,80
225.0,65,1.0,63,1,0,0,120,64,100,80
226.0,60,1.0,63,1,0,0,120,64,100,80
227.0,60,1.0,63,1,0,0,120,64,100,80
228.0,64,1.0,63,1,0,0,120,64,100,80
229.0,62,1.0,63,1,0,0,120,64,100,80
230.0,69,1.0,63,1,0,0,120,64,100,80
231.0,60,1.0,63,1,0,0,120,64,100,80
232.0,60,1.0,63,1,0,0,120,64,100,80
233.0,60,1.0,63,1,0,0,120,64,100,80
234.0,62,1.0,63,1,0,0,120,64,100,80
235.0,60,1.0,63,1,0,0,120,64,100,80
236.0,64,1.0,63,1,0,0,120,64,100,80
237.0,0,1.0,63,1,0,0,120,64,100,80
238.0,64,1.0,63,1,0,0,120,64,100,80
239.0,69,1.0,63,1,0,0,120,64,100,80
240.0,65,1.0,63,1,0,0,120,64,100,80
241.0,60,1.0,63,1,0,0,120,64,100,80
242.0,62,1.0,63,1,0,0,120,64,100,80
243.0,64,1.0,63,1,0,0,120,64,100,80
244.0,67,1.0,63,1,0,0,120,64,100,80
245.0,62,1.0,63,1,0,0,120,64,100,80
246.0,64,1.0,63,1,0,0,120,64,100,80
247.0,60,1.0,63,1,0,0,120,64,100,80
248.0,64,1.0,63,1,0,0,120,64,100,80
249.0,65,1.0,63,1,0,0,120,64,100,80
250.0,65,1.0,63,1,0,0,120,64,100,80
251.0,65,1.0,63,1,0,0,120,64,100,80
252.0,65,1.0,63,1,0,0,120,64,100,80
253.0,60,1.0,63,1,0,0,120,64,100,80
254.0,69,1.0,63,1,0,0,120,64,100,80
255.0,64,1.0,63,1,0,0,120,64,100,80
256.0,62,1.0,63,1,0,0,120,64,100,80
257.0,62,1.0,63,1,0,0,120,64,100,80
258.0,64,1.0,63,1,0,0,120,64,100,80
259.0,69,1.0,63,1,0,0,120,64,100,80
260.0,64,1.0,63,1,0,0,120,64,100,80
261.0,65,1.0,63,1,0,0,120,64,100,80
262.0,64,1.0,63,1,0,0,120,64,100,80
263.0,69,1.0,63,1,0,0,120,64,100,80
264.0,60,1.0,63,1,0,0,120,64,100,80
265.0,60,1.0,63,1,0,0,120,64,100,80
266.0,71,1.0,63,1,0,0,120,64,100,80
267.0,60,1.0,63,1,0,0,120,64,100,80
268.0,0,1.0,63,1,0,0,120,64,100,80
269.0,60,1.0,63,1,0,0,120,64,100,80
270.0,69,1.0,63,1,0,0,120,64,100,80
271.0,67,1.0,63,1,0,0,120,64,100,80
272.0,71,1.0,63,1,0,0,120,64,100,80
273.0,64,1.0,63,1,0,0,120,64,100,80
274.0,62,1.0,63,1,0,0,120,64,100,80
275.0,71,1.0,63,1,0,0,120,64,100,80
276.0,60,1.0,63,1,0,0,120,64,100,80
277.0,60,1.0,63,1,0,0,120,64,100,80
278.0,0,1.0,63,1,0,0,120,64,100,80
279.0,60,1.0,63,1,0,0,120,64,100,80
280.0,0,1.0,63,1,0,0,120,64,100,80
281.0,69,1.0,63,1,0,0,120,64,100,80
282.0,64,1.0,63,1,0,0,120,64,100,80
283.0,64,1.0,63,1,0,0,120,64,100,80
284.0,60,1.0,63,1,0,0,120,64,100,80
285.0,71,1.0,63,1,0,0,120,64,100,80
286.0,60,1.0,63,1,0,0,120,64,100,80
